Age,Gender,ssc_p,hsc_p,deg_p,yr_gap,degree,Stream,interest,placed,pkg,j_type,coaching,textbook,ref_book,internet,ds,algo,dbms,os,oop,cn,code_prac,code_hrs,comp_prog,gfg,hrank,hearth,code_ques,rank,internship,intern_type,no_course
25,Male,71,60,65,0,be,comp,5,Y,5,Technical,N,1,0,1,4,3,5,3,4,4,N,3,N,0,1,1,10,N,Y,T,1
24,Male,70,64,65,0,be,comp,5,Y,7.5,Technical,N,1,0,0,4,3,4,3,4,4,Y,1,N,0,0,0,0,N,Y,N,0
22,Female,56,72,75,0,be,comp,3,N,,N,N,0,0,0,3,3,4,5,4,4,Y,8,Y,1,0,0,0,N,N,N,1
21,Male,93,76,75,0,be,comp,5,N,,N,N,1,1,1,3,4,4,4,4,4,Y,6,Y,1,0,0,25,N,N,N,0
21,Male,93,90,87,0,btech,comp,5,Y,3.5,Technical,N,0,0,1,3,5,4,3,4,4,Y,4,N,0,1,0,50,N,N,N,1
21,Male,89,87,70,0,btech,comp,5,Y,43.5,Technical,N,0,0,1,3,2,4,3,5,5,N,2,N,1,1,0,40,N,Y,T,0
21,Male,93,70,81,0,btech,comp,3,Y,5,Technical,N,0,0,1,5,3,4,3,5,2,Y,1,Y,0,1,1,0,N,Y,NT,0
21,Female,91,86,82,0,btech,comp,4,Y,5,Technical,N,1,1,1,3,4,4,4,5,4,Y,1,Y,1,0,1,6,N,N,N,1
22,Female,75,69,83,0,btech,comp,4,Y,4.5,Technical,N,1,1,0,3,4,3,4,5,4,Y,4,Y,1,1,0,100,Y,Y,T,0
21,Male,96,82,87,0,btech,comp,5,N,,N,N,1,0,1,4,4,4,4,5,4,Y,5,Y,1,0,1,4,N,Y,T,2
22,Male,94.8,84.6,84,0,btech,ENTC,4,Y,6.5,Technical,N,1,0,0,2,2,2,2,3,3,Y,2,Y,0,1,0,101,N,N,N,1
22,Female,94,80,79,0,be,comp,2,Y,6,Technical,N,1,0,1,4,4,3,2,4,2,Y,2,Y,1,0,0,50,N,N,NT,0
22,Male,76,70,65,0,be,it,3,Y,3.8,Technical,N,0,0,1,4,4,4,4,3,4,N,1,N,1,0,0,30,N,N,N,0
21,Female,89,75,66,0,be,ENTC,4,N,,N,N,1,0,1,3,3,3,3,3,3,N,2,N,0,1,0,10,N,Y,T,0
21,Female,95,81,73,0,btech,it,2,Y,4.8,Technical,N,1,0,1,4,4,3,3,5,4,Y,2,N,0,1,1,30,N,Y,T,1
21,Male,91.2,86,72,0,be,ENTC,4,Y,4.5,Technical,N,0,0,1,3,3,4,3,4,3,Y,2,Y,0,1,0,100,Y,Y,N,1
21,Male,92.6,80.6,79.6,0,be,comp,4,Y,6.5,Technical,N,1,1,1,4,4,4,3,5,3,Y,3,Y,0,1,0,100,Y,N,T,1
21,Male,93.6,82.6,80.6,0,be,comp,5,Y,7.5,Technical,N,1,1,1,4,4,5,3,5,3,Y,4,Y,0,1,0,150,Y,Y,T,1
21,Male,94.6,83.4,80.2,0,btech,ENTC,4,Y,5,Technical,N,1,1,1,3,3,4,2,4,2,Y,2,Y,0,1,1,50,N,N,N,1
21,Male,85.6,75.8,74.6,0,btech,it,3,Y,6,Technical,N,1,0,1,4,4,4,4,4,4,Y,2,N,0,1,1,35,N,N,T,1
21,Male,90,76.9,80,0,be,comp,5,Y,4.5,Technical,N,1,0,0,5,5,5,5,5,5,Y,1,Y,0,1,0,63,N,Y,T,1
22,Male,83.5,76.6,72.6,0,be,it,3,Y,3.8,Technical,N,0,0,0,3,3,4,3,4,3,Y,2,N,0,1,0,30,N,N,NT,1
22,Male,85.6,80,76.6,0,be,ENTC,4,Y,5,Technical,N,1,0,1,2,2,1,1,1,1,Y,3,N,1,0,0,48,N,N,T,1
22,Female,90,85,88.7,0,be,comp,2,Y,3.6 ,Technical,N,1,0,1,4,4,4,3,5,3,Y,4,Y,0,1,1,10,N,Y,T,2
22,Male,88.8,82.6,79.6,0,be,it,4,Y,4.25,Technical,N,0,0,1,3,3,3,3,4,3,Y,2,N,1,0,0,30,Y,N,T,1
22,Female,75,74,68.2,0,be,it,3,N,,N,N,1,0,1,3,3,1,1,1,2,N,1,N,0,1,0,10,N,N,N,1
21,Male,86.6,84.5,80,0,be,comp,4,Y,6.5,Technical,N,1,1,1,4,4,4,3,1,2,Y,3,Y,1,0,0,150,Y,N,T,1
22,Female,81,70,72.26,0,btech,it,5,N,,Technical,Y,1,0,1,4,4,3,2,3,2,Y,8,Y,0,0,1,15,N,N,N,1
21,Female,95.5,88.6,84.5,0,btech,comp,5,Y,19.5,Technical,N,1,1,1,4,4,4,3,4,4,Y,4,Y,0,1,0,250,Y,N,N,1
22,Female,88,76.8,72.8,0,be,comp,2,Y,4.25,Technical,N,1,0,1,3,3,3,3,3,3,Y,1,N,0,1,0,40,N,N,T,1
22,Male,96.6,88.6,85,0,btech,comp,4,Y,9,Technical,N,1,0,1,3,3,4,5,5,5,Y,4,Y,0,1,0,150,N,Y,T,0
21,Female,85,80,82,0,be,it,5,Y,3.8,Technical,Y,1,1,1,3,3,4,4,4,4,Y,9,Y,0,1,0,25,Y,N,T,2
22,Female,94,80,80,1,btech,it,4,Y,7.5,Technical,N,1,0,1,4,4,4,2,4,3,Y,3,Y,0,1,0,110,Y,Y,T,0
21,Male,68,70,61,0,btech,comp,1,Y,5,Technical,N,0,0,1,3,3,2,3,4,2,Y,1,N,0,1,0,50,N,N,T,2
21,Male,96,82.46,87.4,2,be,ENTC,3,N,,N,N,1,0,0,1,1,2,1,5,2,Y,4,Y,1,0,0,15,N,N,N,1
21,Female,93,74,68,0,be,ENTC,3,N,,N,N,0,0,1,3,3,3,3,3,3,N,1,N,0,1,0,0,N,Y,NT,2
21,Female,91,78,67,0,be,comp,2,N,,N,N,1,0,0,3,3,3,2,4,4,Y,6,Y,0,0,1,10,N,N,N,1
21,Male,88.4,72.1,70,0,be,it,2,Y,3.2,Technical,N,0,1,1,3,3,3,3,4,3,Y,1,N,0,1,0,10,N,N,T,1
21,Female,88,70,85,0,btech,comp,3,Y,3.8,Technical,Y,0,0,1,4,4,4,4,4,4,Y,4,Y,0,0,1,10,Y,N,T,2
21,Male,60,55.5,61,0,be,it,4,N,,N,N,1,1,1,2,2,2,2,2,2,N,1,N,0,1,1,0,Y,N,NT,2
22,Male,68.7,61.2,55,0,be,ENTC,4,Y,2.9,Technical,Y,0,0,1,3,3,4,3,4,4,Y,3,Y,0,1,0,30,N,Y,NT,2
22,Female,86,79.2,73,0,btech,comp,2,Y,3.6,Technical,N,0,0,1,4,4,3,2,5,4,Y,1,N,0,1,0,50,N,N,NT,3
22,Male,87.74,68.98,69,0,btech,it,4,Y,4.25,Technical,Y,1,0,1,4,4,4,4,4,3,Y,4,Y,0,1,0,30,N,N,N,1
22,Female,91,76,75,0,be,ENTC,4,Y,4.6,Technical,N,0,0,1,4,4,4,3,4,2,Y,3,Y,0,1,0,56,N,N,N,1
22,Male,96,80,78,0,be,comp,2,Y,3.36,Technical,N,1,0,1,4,4,4,4,4,3,Y,1,N,0,1,0,10,Y,N,N,3
22,Female,94,85.65,86,0,be,it,5,N,,N,Y,0,0,1,4,4,3,2,3,4,Y,2,Y,0,0,1,50,N,N,N,2
22,Male,92,82,77,2,be,ENTC,4,Y,5,Technical,N,1,0,1,3,3,3,3,3,3,Y,3,Y,0,1,0,60,N,Y,NT,0
21,Female,92,89,72,0,be,ENTC,3,N,,N,N,0,0,1,3,3,4,3,4,3,N,1,N,0,0,1,0,N,N,N,2
21,Female,68,65,61,0,be,comp,4,N,,N,N,1,1,1,4,4,4,2,4,4,Y,7,Y,0,1,0,12,N,N,T,1
21,Male,70,62.78,73,0,be,it,3,N,,N,N,1,1,1,3,3,3,3,3,3,N,1,N,0,1,0,0,N,Y,T,2
21,Male,96,90,60,0,be,comp,2,Y,3.25,Technical,N,0,0,1,4,4,5,4,4,3,Y,1,N,0,1,0,20,N,Y,T,1
21,Male,70.8,71,68,0,be,it,4,Y,2.8,Technical,Y,1,0,1,3,3,3,3,3,3,Y,3,Y,0,1,0,10,Y,N,N,1
22,Female,56,54.70,54,0,be,ENTC,3,N,,N,N,0,0,1,4,4,4,4,5,4,N,1,N,0,1,1,0,Y,Y,N,2
22,Male,93,85,79,0,be,comp,3,Y,3.8,Technical,N,1,1,1,2,2,3,1,3,4,Y,1,N,0,1,0,25,Y,Y,N,0
21,Male,93,87.72,78,0,be,comp,3,N,,N,N,1,0,0,3,3,3,3,4,4,N,1,N,0,1,0,0,N,Y,N,2
21,Female,89,80.8987,81,0,btech,comp,2,Y,4.1,Technical,N,1,0,1,1,1,1,1,1,2,Y,1,N,0,1,1,50,N,Y,T,1
22,Female,93,70,85,0,btech,it,1,Y,4.4,Technical,N,0,0,1,3,3,4,4,4,4,Y,1,Y,1,1,1,20,N,N,T,1
22,Male,84,72.64,68,0,be,comp,2,N,,N,N,1,1,1,3,3,4,3,3,3,Y,1,N,0,0,0,0,N,N,N,2
22,Male,89,78,80,0,btech,comp,1,Y,6.8,Technical,Y,0,0,1,4,4,4,3,5,5,Y,2,N,0,0,0,50,N,N,N,3
21,Female,90,70,87,0,be,ENTC,3,N,,N,N,1,1,1,3,3,4,4,4,3,N,2,N,0,0,0,0,N,N,N,1
21,Male,57,55,60,0,be,comp,4,N,,N,N,0,1,0,4,4,4,4,4,4,N,0,N,0,0,0,20,Y,Y,T,0
21,Female,58,61,62,3,be,it,2,Y,4,Technical,N,1,0,1,3,3,2,3,2,2,Y,3,N,1,0,0,50,N,N,N,0
22,Male,70,55,58,0,be,ENTC,2,N,,N,N,1,0,1,4,4,4,4,4,3,Y,2,Y,0,1,0,23,Y,Y,T,0
22,Male,65,72,68,0,be,ENTC,3,N,,N,N,1,0,1,3,3,2,3,3,2,N,1,N,0,1,0,10,N,N,N,0
22,Male,75,72,69,0,be,comp,4,Y,3.2,Technical,Y,1,1,1,4,4,4,3,4,4,Y,2,Y,0,1,0,70,N,N,N,0
22,Male,68,65,62,0,btech,it,4,Y,7,Technical,N,1,1,1,4,4,2,3,4,2,N,2,Y,0,1,1,50,N,N,N,0
22,Female,64,70,65,0,be,ENTC,2,N,,N,N,1,1,1,4,4,4,2,3,2,N,2,N,0,1,0,5,N,N,N,0
21,Female,88,64,69,0,be,comp,4,Y,3.5,Technical,N,1,1,1,2,2,3,1,2,1,Y,2,N,0,0,0,60,N,N,N,0
21,Female,72,59,62,0,be,comp,2,N,,N,N,1,0,0,4,4,4,4,4,4,N,1,N,0,1,0,15,N,N,N,0
21,Female,89,69,72,0,be,it,4,N,,N,N,0,0,1,4,4,4,4,5,5,Y,2,Y,0,1,0,55,N,N,N,0
21,Female,92,70,78,0,be,ENTC,4,N,,N,N,0,0,1,2,2,2,4,2,3,N,1,N,0,0,1,10,N,N,N,0
21,Male,78,65,68,0,be,it,4,Y,5,Technical,Y,0,0,1,1,1,2,4,3,5,Y,2,Y,0,1,0,69,N,Y,T,0
21,Female,79,89,64,0,be,ENTC,4,N,,N,N,1,0,1,3,3,3,3,3,4,Y,2,Y,0,1,1,40,N,Y,T,0
21,Male,80,75,70,0,be,it,2,Y,3.7,Technical,N,1,1,1,3,3,3,3,3,4,N,1,Y,0,1,0,10,N,N,N,1
21,Female,81,70,72.86,0,be,comp,2,Y,3.2,Technical,N,1,0,1,3,3,4,3,3,4,Y,1,N,0,1,1,20,N,N,N,3
21,Female,60,55.5,61,0,be,ENTC,3,N,,N,N,1,0,0,5,5,5,3,3,4,N,1,N,0,1,0,10,N,N,N,2
21,Male,90,88,88.7,1,btech,comp,1,Y,4.25,Technical,N,1,1,1,4,4,1,3,3,4,Y,2,N,0,1,0,60,N,N,N,3
21,Male,88.4,72.1,70,0,be,it,2,Y,3.2,Technical,N,1,0,0,3,3,2,3,3,5,N,2,N,0,0,0,0,N,Y,T,1
21,Female,91,78,70,0,be,it,3,N,,N,N,0,1,0,3,3,5,3,5,5,N,2,N,1,0,1,0,N,N,N,2
